age,gender,race,date,city,state,manner_of_death,mental_illness
32,Male,Black,2004-01-08,Hempstead,TX,Shot,false
26,Male,Black,2004-01-15,Orlando,FL,Shot,false
28,Male,Black,2004-01-17,Long Beach,CA,Shot,false
23,Male,Black,2004-01-19,Houston,TX,Shot,false
24,Male,Black,2004-01-21,Las Vegas,NV,Shot,true
40,Male,Black,2004-01-21,Henderson,NV,Shot,false
54,Male,Black,2004-01-23,Saint Paul,MN,Shot,false
19,Male,Black,2004-01-24,Brooklyn,NY,Shot,false
33,Male,Black,2004-02-03,Los Angeles,CA,Shot,false
54,Male,Black,2004-02-27,Los Angeles,CA,Shot,false
27,Male,Black,2004-03-03,Cleveland,OH,Shot,false
49,Male,Black,2004-03-05,Norwalk,CA,Shot,false
78,Female,Black,2004-03-12,Cherokee,AL,Shot,true
43,Male,Black,2004-03-17,Seattle,WA,Shot,false
28,Male,Black,2004-03-28,Portland,OR,Shot,true
25,Male,Black,2004-04-05,Opa-Locka,FL,Shot,false
21,Male,Black,2004-04-18,Dallas,TX,Shot,false
29,Male,Black,2004-04-18,Dallas,TX,Shot,false
43,Male,Black,2004-04-23,Compton,CA,Shot,false
30,Male,Black,2004-04-24,Pasadena,CA,Shot,false
17,Male,Black,2004-05-02,St. Petersburg,FL,Shot,false
25,Male,Black,2004-05-05,Los Angeles,CA,Shot,false
37,Male,Black,2004-05-05,Brownsville,PA,Shot,false
29,Male,Black,2004-05-05,San Francisco,CA,Shot,false
31,Male,Black,2004-05-27,Fort Lauderdale,FL,Shot,false
27,Male,Black,2004-06-01,Waynesboro,GA,Shot,false
45,Male,Black,2004-06-26,Tallahassee,FL,Shot,false
40,Male,Black,2004-06-27,Roxbury,MA,Shot,false
21,Male,Black,2004-06-29,San Francisco,CA,Shot,false
15,Male,Black,2004-07-12,Durham,NC,Shot,false
34,Male,Black,2004-07-13,Inglewood,CA,Shot,false
22,Male,Black,2004-07-17,Long Beach,CA,Shot,false
22,Male,Black,2004-08-03,New Orleans,LA,Shot,false
58,Male,Black,2004-08-06,Birmingham,AL,Shot,true
58,Male,Black,2004-08-22,Monroe,LA,Shot,true
38,Male,Black,2004-08-23,Ferriday,LA,Shot,false
26,Male,Black,2004-08-29,Lexington,MS,Shot,false
22,Male,Black,2004-09-11,Vallejo,CA,Shot,false
41,Male,Black,2004-09-28,Bridgeport,CT,Shot,false
22,Male,Black,2004-09-30,Oakland Park,FL,Shot,false
30,Male,Black,2004-10-01,San Bernardino,CA,Shot,false
23,Male,Black,2004-10-02,High Point,NC,Shot,false
25,Male,Black,2004-10-06,Jacksonville,FL,Shot,true
23,Male,Black,2004-10-16,Delray Beach,FL,Shot,false
49,Male,Black,2004-10-24,West Perrine,FL,Shot,true
15,Male,Black,2004-10-24,Minneapolis,MN,Shot,false
47,Male,Black,2004-10-27,Florala,AL,Shot,false
20,Male,Black,2004-11-03,North Charleston,SC,Shot,false
50,Male,Black,2004-11-04,Oakland,CA,Shot,true
48,Male,Black,2004-11-08,Lake Charles,LA,Shot,true
