Stagione	Campionato	Campionato_sigla	Giornata	Data	CoT	Squadra	Numero	Avversario	Avversario_sigla	Risultato_finale	PoNo	Minuto_1	Risultato_parziale_1	Modo_1	Assist_1	Minuto_2	Risultato_parziale_2	Modo_2	Assist_2	Minuto_3	Risultato_parziale_3	Modo_3	Assist_3	Minuto_4	Risultato_parziale_4	Modo_4	Assist_4	N_goals
Stagione 17/18	Serie A	Serie A	2	27/08/2017	T	SS Lazio	(11.)	AC Chievo Verona	Chievo  (5.)	01:02	P	11'	00:01	Colpo di testa	Luis Alberto													1
Stagione 17/18	Serie A	Serie A	3	10/09/2017	C	SS Lazio	(8.)	AC Milan	Milan  (4.)	04:01	P	38'	01:00	Rigore		42'	02:00	Destro	Senad Lulic 	48'	03:00	Sinistro	Marco Parolo					3
Stagione 17/18	Europa League	Europa League	Fase a gironi	14/09/2017	T	SS Lazio		Vitesse Arnhem	Vitesse	02:03	P	67'	02:02	Destro	Felipe Caicedo													1
Stagione 17/18	Serie A	Serie A	4	17/09/2017	T	SS Lazio	(4.)	Genoa CFC	Genoa  (16.)	02:03	P	70'	01:02	Destro	Jordan Lukaku	82'	02:03	Destro										2
Stagione 17/18	Serie A	Serie A	6	24/09/2017	T	SS Lazio	(7.)	Hellas Verona	Verona  (18.)	00:03	P	24'	00:01	Rigore		41'	00:02	Destro										2
Stagione 17/18	Europa League	Europa League	Fase a gironi	28/09/2017	C	SS Lazio		SV Zulte Waregem	Zulte Waregem	02:00	P	90'	02:00	Destro	Alessandro Murgia													1
Stagione 17/18	Serie A	Serie A	7	01/10/2017	C	SS Lazio	(5.)	US Sassuolo	Sassuolo  (15.)	06:01	P	81'	06:01	Rigore														1
Stagione 17/18	Serie A	Serie A	8	14/10/2017	T	SS Lazio	(4.)	Juventus FC	Juventus  (2.)	01:02	P	47'	01:01	Destro	Luis Alberto	54'	01:02	Rigore										2
Stagione 17/18	Serie A	Serie A	9	22/10/2017	C	SS Lazio	(3.)	Cagliari Calcio	Cagliari  (14.)	03:00	P	7'	01:00	Rigore		41'	02:00	Colpo di testa	Adam Marusic									2
Stagione 17/18	Serie A	Serie A	11	29/10/2017	T	SS Lazio	(3.)	Benevento Calcio	Benevento  (20.)	01:05	P	13'	00:02	Destro	Sergej Milinkovic-Savic													1
Stagione 17/18	Serie A	Serie A	13	18/11/2017	T	SS Lazio	(2.)	AS Roma	Roma  (5.)	02:01	P	72'	02:01	Rigore														1
Stagione 17/18	Coppa Italia	Coppa Italia	Ottavi	14/12/2017	C	SS Lazio		AS Cittadella	Cittadella	04:01	P	11'	01:00	Sinistro	Sergej Milinkovic-Savic	87'	04:01	Destro	Lucas Leiva									2
Stagione 17/18	Serie A	Serie A	18	23/12/2017	C	SS Lazio	(5.)	FC Crotone	Crotone  (16.)	04:00	P	78'	02:00	Colpo di testa	Senad Lulic													1
Stagione 17/18	Serie A	Serie A	20	06/01/2018	T	SS Lazio	(5.)	SPAL 2013	SPAL  (18.)	02:05	P	19'	01:02	Sinistro	Luis Alberto	26'	01:03	Destro	Sergej Milinkovic-Savic	41'	02:04	Colpo di testa	Dusan Basta 	51'	02:05	Destro	Stefan Radu	4
Stagione 17/18	Serie A	Serie A	25	19/02/2018	C	SS Lazio	(5.)	Hellas Verona	Verona  (19.)	02:00	P	55'	01:00	Destro	Luis Alberto	60'	02:00	Colpo di testa	Senad Lulic									2
Stagione 17/18	Europa League	Europa League	Turno intermedio	22/02/2018	C	SS Lazio		FCSB	FCSB	05:01	P	7'	01:00	Destro	Senad Lulic	43'	03:00	Destro	Felipe Anderson 	71'	05:00	Sinistro	Felipe Anderson					3
Stagione 17/18	Serie A	Serie A	26	25/02/2018	T	SS Lazio	(4.)	US Sassuolo	Sassuolo  (16.)	00:03	P 	31'	00:02	Rigore														1
Stagione 17/18	Europa League	Europa League	Ottavi	08/03/2018	C	SS Lazio		Dinamo Kiev	Dinamo Kiev	02:02	P	54'	01:01	Destro	Felipe Anderson													1
Stagione 17/18	Serie A	Serie A	28	11/03/2018	T	SS Lazio	(4.)	Cagliari Calcio	Cagliari  (15.)	02:02	P	90'+5	02:02	Destro	Felipe Anderson													1
Stagione 17/18	Serie A	Serie A	30	31/03/2018	C	SS Lazio	(5.)	Benevento Calcio	Benevento  (20.)	06:02	P	19'	01:00	Destro	Felipe Anderson	68'	04:02	Destro										2
Stagione 17/18	Europa League	Europa League	Quarti	05/04/2018	C	SS Lazio		Red Bull Salisburgo	RB Salisburgo	04:02	P	77'	04:02	Destro	Lucas Leiva													1
Stagione 17/18	Serie A	Serie A	31	08/04/2018	T	SS Lazio	(5.)	Udinese Calcio	Udinese  (13.)	01:02	P	26'	01:01	Destro														1
Stagione 17/18	Europa League	Europa League	Quarti	12/04/2018	T	SS Lazio		Red Bull Salisburgo	RB Salisburgo	04:01	P	55'	00:01	Destro	Luis Alberto													1
Stagione 17/18	Serie A	Serie A	34	22/04/2018	C	SS Lazio	(4.)	UC Sampdoria	Sampdoria  (8.)	04:00	P	85'	03:00	Destro	Sergej Milinkovic-Savic	88'	04:00	Destro	Nani									2
Stagione 18/19	Serie A	Serie A	1	18/08/2018	C	SS Lazio	(8.)	SSC Napoli	Napoli  (2.)	01:02	P	25'	01:00	Sinistro														1
Stagione 18/19	Europa League	Europa League	Fase a gironi	20/09/2018	C	SS Lazio		Apollon Limassol	Apol. Limassol	02:01		83'	02:00	Rigore														1
